刷到花花请不要无视，说明你的运势开始上升: 运势上升提醒:不要无视花花
2023音律联觉明日方舟嘉年华线下重启正式情报公开！详细活动专题页及票务信息将会于近期发布，请持续关注明日方舟@明日方舟资料室遭到入侵文件不翼而飞而你已明白这是谁的杰作想追回失物？那就抓紧动身一、2023音律联觉愚夜密函2022音律联觉灯下定影线下返场活动地点 上海旗忠网球中心主场馆（上海市闵行区元江路5500弄）活动时间 2023音律联觉愚夜密函4月29日5月1日音律联觉灯下定影线下返场5月3日1700温馨提醒 *2023音律联觉愚夜密函三天为相同演出内容*2023音律联觉愚夜密函演出全部录播内容后续将于独家上线，敬请期待*2022音律联觉灯下定影线下返场新增节目特别上演*音律联觉将为博士们准备活动场馆往返北桥地铁站的免费接驳大巴，有需要乘坐的博士请合理安排自己的出行时间二、明日方舟嘉年华线下重启活动地点 上海世博展览馆一号馆（上海市浦东新区国展路1099号）活动时间 4月29日5月2日三、音律联觉愚夜密函特供款系列时装游戏内限时上架2023年5月1日月29日0359灿海浮梦流明飞羽艾丽妮待绘的作品罗比菈塔我数到三，好戏就要开始了关注并转发本条微博，我们将于4月20日通过微博抽奖平台@微博抽奖平台抽取40位幸运的博士，分别送出2023音律联觉怪盗的邀请函 一封。明日方舟: 明日方舟嘉年华线下活动预告
我和你才是天下第一好: 和你才是天下第一好
感觉丫丫也不开心，本来是计划4月12日就能乘专机回国的，可是现在非要拖到月底，唯一欣慰的就是丫丫现在天天可以吃到自己喜欢的嫩竹子！: 期待专机回归,丫丫天天吃竹子
晚霞的浪漫至死不渝太爱啦: 浪漫晚霞,至死不渝的爱。
《幻塔》风雅与霸道，榴火拟态发布离州域卫——榴火！前来助阵！有我帮忙，你们就尽管放一百二十个心吧。九域时空版本即将来临，榴火限定订购4月19日1200开启。作为一个堂堂离州域卫！武力虽然是很重要的条件，但要当这一方土地的守护者，换言之就是门面、招牌一般的存在，自身的文化底蕴、人格内涵才是真正绝对的关键！人文素养，不同于那些浮于表面的拳脚功夫，是一种深奥的、只可意会不可言传的好东西！你觉得自己人文素养不够？没关系，这有一份书法培训班宣传单，新来的，一起加入进来修习书法吧。师傅常说，这是一个努力能看到回报的世界正所谓有句好话叫——力能补拙！意思是，就算技巧差点，只要力气够大也就慢着好像有哪里不太对更多榴火相关的情报，请继续关注塔塔。: 《幻塔》离州域卫发布,加入修习书法。
很喜欢余华老师写过的这段话: 很喜欢余华老师写的话
在草稿箱里看到前几天意外录的，感觉这段一脸正经有点搞笑分享一下[哆啦夢害怕]: 意外录的搞笑照片
一只向你奔来的快乐小狗: 向你奔来的快乐小狗
武力组评委阵容 来了，来了！武力组评委阵容来了！他们是——一看就很能打的——难得回京一趟的天枢上将看起来不能打实际上很能打——传闻中的埃兰沙战神以及谁敢说战略战策不是一种武力？当评委阵容有武有谋，参赛选手们的全方面表现就尤为重要！想了解更多评委爆料？敬请持续关注子叶发布的一手消息！4月14日，我们有才节不见不散！[锦鲤附体]大景有才节宣传纪念头像共创活动主办方及幕后团队阵容主持人信息弈术组评委阵容厨艺组评委阵容: 武力组评委阵容来了,包括棋艺组、埃兰沙战神和战略战策评委阵容。
2023明日方舟嘉年华幕后制作记录公开来自泰拉大陆的诸多幻想都将通过嘉年华照进触手可及的现实，更多精彩与感动，等待博士们亲自探寻。，久等了。*本纪录片中出现的相关展区画面为施工中的未完成状态，不代表最终效果，请以现场实际效果为准。明日方舟: 方舟嘉年华幕后制作记录公开,展现泰拉大陆幻想。
