夕阳和宝宝[送花花]: 夕阳和宝宝[送花花]
出门都有心理阴影了 4月4日，河南新乡。女子回家被一陌生男子尾随到家门口要微信。田女士称，当时回家后准备关门，看见门口有一陌生男子，问她能不能加微信，自己没理他就关上了门。事后调监控才发现该男子一直尾随自己到家门口，目前已经报警，感觉出门都有心理阴影。后浪视频@后浪视频后浪视频: 河南新乡一陌生男子尾随女子回家门口要微信,已报警。
权威快报习近平同法国总统马克龙举行会谈 4月6日下午，国家主席习近平在人民大会堂同来华进行国事访问的法国总统马克龙举行会谈。: 习近平同法国总统马克龙举行会谈
长沙就是来了很多次还想再来的城市啊: 期待再见到城市
角落里的小猫咪也太软萌了捏: 猫咪太软萌了
风太大把蜡笔小新的裤子吹掉了: 吹掉蜡笔小新裤子
图一是前男友拍的图二是现男友拍的: 拍摄前、现男友的照片。
晚霞铺就了人间最浪漫的颜色: 浪漫晚霞铺就人间最美颜色
画江湖之不良人尸祖降臣你难道就不好奇不好奇不，你好奇！又好笑又貌美的臣臣（补一个指指点点）: 江湖不良人尸祖降臣,令人好奇又好笑又貌美的臣臣。
爱情经不起等待，叫我宝贝就现在（厦门）: 经不起等待,叫我宝贝就现在(厦门)
把香蕉放进苦瓜里，没想到做出来的先苦后甜竟然这么好吃: 香蕉做苦瓜,先苦后甜好吃。
打个电话的功夫一转头娘俩睡着了: 电话接通功夫转头娘俩睡着了
吃一半丢一半，西方国家吃肉简直是造孽: 西方国家吃肉造孽
对于这种穿着毫无抵抗力[哇]: 毫无抵抗力穿着
可喜欢跟小朋友聊天了[兔子][兔子][兔子]: 喜欢跟小朋友聊天
感觉15的手感真的不会很差，苹果终于开窍了[干饭人]: 苹果终于开窍了
西方版《西游记》，如此八戒谁不爱: 西方版《西游记》八戒谁不爱
我知道我为什么单身了，上班，加班，值夜班，除了工作就是睡觉！想辞职了，要不然真要单身一辈子了！揭阳: 想辞职,单身一辈子。
不待够1个半小时不准出去 近日，中国澳门。一位参加老年旅行团的女士爆料称，自己和团友被带到一间奥特莱斯里。随后，竟遭店内2名男子堵门不让出。尽管报团时强调了全程无自费项目，导游到店后也表示，不待够1个半小时，不让出去。几百个人都站在一间小小的店里，人挤人，室内空气极其不好。中途有老人受不了了冲了出去，但又被导游叫了回去。最后还是大家一起往外冲。才冲出去的，该女士对此表示十分愤怒。星视频@星视频星视频: 澳门妇女被带到奥特莱斯,遭2名男子堵门不让出。导游称不待够1个半小时,数百人挤人。
杀我别用小狗刀！猛男都抵不住哭了[苦涩][苦涩][苦涩]《忠犬八公》: 《忠犬八公》猛男哭了
女孩被窝传来一阵蛙鸣，妈妈掀开被子一看差点高血压。网友我的妈呀，这孩子爱好真特殊[666]: 女孩被窝蛙鸣,妈妈差点高血压
永远不要挑衅外卖商家[苦涩]: 不要挑衅外卖商家
里杀青了，这次小朋友变成了大记者，我也里面也体验了一个特别的新身份，希望大家多多支持。: 小朋友成为大记者,体验新身份,呼吁支持。
香奈儿22手袋，发布了全新广告影片。拍摄于首尔，由出镜演绎。摄影师组合力图挖掘身上不为外人所知的另一面——完美、惊艳的偶像身份之外，她也会有欢乐、随性与欣喜若狂的时刻。于是这些元素化作第二个她有着天马行空、仿若精灵的形象，甚至长出了绚丽的蝴蝶翅膀，如同置身异想天开的梦幻世界。欣赏可爱灵动的之余，也记得探索: 香奈儿新广告拍摄于首尔,拍摄于完美、惊艳的偶像身份之外,拥有天马行空、仿若精灵的形象和绚丽的蝴蝶翅膀。
和帮我合照的女孩谈恋爱了: 帮合照的女孩谈恋爱
4月2日，江西吉安。一男子捡到招嫖卡片，随后打电话企图嫖娼。结果在对方的引导下，先后转账65万，男子不仅贷款还找前妻借了钱，前妻表示，虽然自己没有工作，但愿意和男子共同偿还这些欠款。: 男子嫖娼被转账65万,贷款还前妻。
留学时见过最有钱的留学生是怎样的？: 留学时见过最有钱的留学生
有个没主见的男朋友是种什么体验: 无主见的男朋友体验
女人只因喝了一口泡了谷子的水，却发明了酒: 喝谷子的水,喝酒的。
春天怎么可以不去拍花花: 春天拍花花,不拍花花。
小周周说他爸爸很适合这辆车: 周周说他爸爸很适合这辆车
女子租房到期退房时，房东以床垫的塑料膜破了三个地方，要扣押金500元，最后女子据理力争还是被扣200！网友人昧着良心总有一天报应会来的。: 女子退房遭房东强扣押金
男朋友的鼻子好像做的希望多亲亲我也能变小翘鼻[开学季]: 期待多亲亲我变小翘鼻
