若到江南赶上春嘉兴乌镇西栅: 江南美景,赶上春嘉兴
拍摄者他还喝了酒，很气愤 4月8日，山东淄博。一段老人坐电动车因腿脚不便被老伴怒斥扇脸的视频引热议。拍摄者黄女士称，老太太公园内因腿脚不方便无法顺利坐上电动车，老头催促后使劲掰她腿并怒斥扇脸，老头在一旁喝了不少酒，自己看着很心痛很气愤。后浪视频@后浪视频后浪视频: 老人因腿脚不便被老伴怒斥扇脸,拍摄者气愤。
见面拍照发圈让快乐有迹可循: 见面拍照发圈让快乐有迹
2023年4月7日，时隔4年7个月之后，兰州瓜农刺死城管案一审在兰州中院开庭审理。2018年7月18日11时许，瓜农王爱文和弟弟王爱武与城管发生肢体冲突，导致城管1死2伤。之后，王爱文、王爱武被警方刑拘。2019年8月，兰州市检察院以涉嫌故意杀人罪，对王氏兄弟提起公诉。因案情复杂、疫情影响等，直至2021年9月，此案才召开第一次庭前会议。2023年3月底，因王爱武患有精神分裂症，目前处于发病期、无受审能力，兰州中院作出刑事裁定，对王爱武中止审理。2023年4月7日，王爱文故意杀人一案一审开庭审理。庭审中，王爱文的行为属于故意杀人，还是正当防卫，是庭审辩论的焦点。据王爱文的辩护律师介绍，公诉人认为，在打斗过程中，王爱文没有制止弟弟王爱武的暴力行为，存在形成共同故意杀人的用意，其行为构成了故意杀人罪。辩护方则认为，王爱文、王爱武都是在被城管殴打后有所反抗，王爱文无法预见弟弟王爱武的行为，也无法控制，因此王爱文无需为王爱武的防卫过当而承担责任。据此，辩护律师以正当防卫为王爱文作了无罪辩护。目前，此案尚未宣判。瓜农刺死城管案一审哥哥未制止弟弟暴力是否构成故意杀人成焦点: 兰州瓜农刺死城管案开庭审理,王爱文无罪辩护。
说说自己最难忘的一次[微风][微风][微风]: 难忘的一次“微风”
今天是卓玛女孩今晚2200浙江卫视: 卓玛女孩于今晚2200浙江卫视播出
山河记得你，我们记得你永远都不会忘记清澈的爱，只为中国。: 呼吁忘记的爱,只为中国。
一些小破站里你不知道的宝藏老师: 小破站寻找宝藏老师
边防雪山上的生日仪式让人泪流: 雪山生日仪式让人泪流
每年南湖杯都会遇上生理期: 夏季南湖杯生理期
孟菲斯动物园为丫丫举行送别活动: 孟菲斯动物园送别丫丫
