这些名字，一个比一个酷！: 酷!酷!名字酷!
我这辈子能拥有这么炸裂的爱情吗: 期待炸裂的爱情
视频看起来比照片明媚一点捏: 照片明媚
耀眼的日光照亮我热烈的青春北京中国传媒大学: 耀眼的日光照亮我青春北京中国传媒大学
不是，夏威夷你们俩真没商量过？？？: 夏威夷问题待解
名场面片段，对不起，不能陪你到最后，你是否也曾被感动过？影片今日18点起在全国艺联率先开画，4月11日全国上映。: 电影《对不起,不能陪你到最后》在全国艺联率先开画,4月11日全国上映。
明显中国人有气质多了: 中国人有气质
2000多名学生徒步54公里祭英烈: 多名学生徒步54公里祭英烈
4月2日，重庆。曝女孩喊婆婆带她去理发，结果被带到街边卖头发换钱。拍摄者表示女孩反抗不了，就一直哭。: 女孩被婆婆带去理发,卖头发换钱,拍摄者表示女孩反抗不了。
这女子真是好腿啊！绑了14瓶不重吗？这下连自己也搭进去了。刘富贵儿: 女子绑14瓶瓶不重,自己搭进去了。
必须严惩人贩子！ 电影《亲爱的》故事原型孙卓被拐案有了新进展。4月3日上午，孙海洋一家人@孙海洋一家人向大象新闻记者透露，案件将于4月7日在深圳市南山区人民法院开庭，他更换了律师团队，将向人贩子吴某龙提出580万元的民事赔偿，我知道他没有钱赔，但这是我的态度！此前报道，去年6月，孙海洋曾收到检方发来的量刑建议书，孙卓被拐案的嫌疑人吴某龙被建议判处五年有期徒刑。: 电影《亲爱的》原型孙卓被拐案新进展,嫌疑人吴某龙被建议判处五年有期徒刑。案件将于4月7日在深圳南山区法院开庭,孙海洋一家人提出580万元民事赔偿。
4月2日，江西吉安。一男子刘先生偶然捡到一张招嫖小卡片，打电话过去想消费，不料却在对方（骗子）的引导下先后转账65万元。刘先生称刚开始要充钱开会员，激活秒收到客服的返款后进行了4次充值，最后一次是5万元，却被告知激活失败需要玩游戏，在托的引导下，刘先生赢得了可以兑换成钱的很多积分，为了兑现和要回自己充值的钱，刘先生不仅贷款还找前妻借了钱。前妻表示虽然自己没工作，但愿意和男子共同还这些钱。星视频@星视频星视频: 男子被骗65万,充钱开会员,最终被告知需玩游戏,最终赢得积分。
