在油菜花地里是不是更刺激！广州: 广州油菜花田刺激
4月11日，宝马女司机撞人拖行案在湖南娄底开庭审理。2022年9月，湖南娄底一女司机肖某某醉酒后，驾驶一辆宝马轿车追尾一辆二轮电动车后逃离现场，致使女子谢某被车辆拖行，直到被交警截停。肖某某因涉嫌交通肇事罪被公安机关刑事拘留。4月10日，被拖行的女子谢某的丈夫周先生告诉@，当时妻子被车拖行了两千多米，屁股的肉磨到露骨，出事后妻子进入重症监护病房4个多月，昏迷近2个月，直到今年1月才转至康复科，目前妻子仍不能说话、走路，吃饭要人喂。周先生称，他和母亲两人一起照顾妻子，孩子只能交给父亲照顾，他之前送快递的工作现在没时间做。由于无法确定今后妻子康复情况和治疗所需费用，因此目前尚未提起民事诉讼。至今家里已经欠了医院近80多万。4月7日上午，被告家属在法院进行了口头道歉，称希望获得谅解。: 宝马女司机撞人拖行案开庭,原告丈夫被刑拘,被告家属希望获得谅解。
不懂就问，干冰不会中毒吗: 干冰不会中毒吗?
不懂就问，现在地铁偷拍这么嚣张了吗？: 地铁偷拍猖獗?
三年了终于结束也上岸了: 三年后终于上岸
34岁也是从中启航的第一岁: 中启航的第一岁
4月10日晚，一则来自湖北省黄冈市自媒体发布的网络爆料视频显示，黄冈市团风县政务服务和大数据管理局局长陈莉，给自己配了一间休息室（单间），床、冰箱、电视等设施公费报销给办公室员工也配了休息室，但内部设施简陋，床是上下铺。针对此事，湖北省多位纪委人士称，中央八项规定第八条规定，要厉行勤俭节约，严格遵守廉洁从政有关规定，严格执行住房、车辆配备等有关工作和生活待遇的规定。床上用品究竟是谁的？房间内设施价格多少？需进一步查清。团风县网信办相关负责人称，已注意到新视点网发布的视频，还在进一步核查。待情况查清，会发布通报。（记者苏笃实习生王楚君）: 湖北黄冈市团风县政务服务和大数据管理局局长被曝在办公室配休息室,房间简陋,床上有上下铺。
30岁的阿姨经不起折腾抱不起靠别人来扶起自己，只有暴富才能支撑自己的脚跟温州欧洲城二期: 温州阿姨靠暴富支撑脚跟
这兄弟应该是钢铁直男！: 钢铁直男兄弟
王八吊树上上不上下不下: 王八八吊树上不上下
又是当伴娘的一天上次当伴娘的照片还没有发完: 伴娘照片未发完
河南，失去双腿女子在做胎心监护，我跟我老公都是父母离异，所以都希望自己有一个完整幸福的家网友伟大的母爱: 失去双腿女子做胎心监护,希望家人幸福
男子与朋友聚餐时拿出一瓶好酒，朋友们觉得太贵了都让别开了，结果下一秒奇趣百科: 男子好酒引发奇趣百科
打我呀！！一点情趣都没[微笑]: 批评我无微笑
哈哈，看看我这伐木工熊猫怎么样，不需要洗澡澡，一样可可爱爱: 熊猫不需要洗澡澡,可爱爱。
看手上的茧子就知道有功夫了: 手上有茧子就知道有功夫
今天，北方多地遭遇沙尘天气，部分地区最小能见度在14公里，阵风风力可达八九级。今年春天为何沙尘天气如此频繁？未来，我国沙尘天气是否会越来越多？@连麦中国天气@中国天气阿拉善公益机构@阿拉善公益机构解析的微博直播为何今春沙尘天气如此频繁: 沙尘天气频繁,关注微博直播。
生小孩就像开盲盒一样，图三是认真的吗？: 小孩像开盲盒,图三是认真的吗?
有人吃过吗？看着好好吃: 期待美味食物
穿错了室友的内我该怎么办: 找到室友的内问题
不到长城非好汉到了长城满身汗北京八达岭长城: 不到长城非好汉,北京八达岭长城满身汗
寻迹跃动灵感，开启清新篇章快来参半口腔@参半口腔我的同款参半新品 呼吸之间，创造与众不同参半，呼出新风尚参半口腔: 参半口腔推出同款新品
相知相识又归零新加坡: 相识相识又归零新加坡
李现、周雨彤春色寄情人同框试拍路透！: 李现、周雨彤试拍同框
截至目前，根据投票你认为是否应该用其他植物替代石楠花显示，61的网友认为应该用其他植物替代石楠花，18的网友认为不应该替代，19的网友保持中立。其中认为应该替代的网友中，江苏、河南、湖北三地网友占比最高。你认为应该用什么花来替代石楠花？: 61的网友认为应该用其他植物替代石楠花,江苏、河南、湖北三地网友最高。
大一新生总被人误认为是少妇，怎么办: 新生被误认少妇
妹宝我看到了你的肚皮！赵露思的微博@赵露思的微博黑樱桃赵露思: 赵露思微博发布微博黑樱桃
帅气的都上交给国家了，赞: 赞!帅气的都上交给国家
伴娘团之猛龙过江[666]: 伴娘团猛龙过江
汪大东雷婷终2东婷 我遇见了十年后的你如果还有机会遇见你，我会让你知道我的答案，和你对我的感觉是一样的曾沛慈@曾沛慈汪东城@汪东城——爱你字素感谢三通不逢@三通不逢: 感谢曾沛慈和汪东城,感谢三通不逢。
哈哈哈哈哈哈！果然成了网红打卡地成都抚琴: 成都抚琴成为网红打卡地
1提。更多福利，前往公主号4月11日推文参与互动，就有机会拿到品牌代言人迪丽热巴特别版明信片！: 福利来公主号互动,拿迪丽热巴特别版明信片。
华晨宇@华晨宇我来了，挤不进去了，这是我离你最远的一次听现场了还有，这个手里的棒棒哪里买的，我也要后沈涛: 华晨宇现场听现场,买棒棒也要后沈涛。
是我理想的婚后生活了: 理想婚后生活
印度人口增至141亿，联合国预计将于今年4月中下旬宣布，印度成为全球人口最多的国家，这将为该国开启新的篇章。有分析指出，印度的体量会提升其国际地位，尤其是作为世界第五大经济体，它也是增长最快的经济体。印度在气候变化等全球议题上，也发挥着越来越重要的作用。不过，根据联合国预测，2064年印度人口将增至17亿，管理人口将成为该国面临的挑战，庞大的人口规模给水和能源带来压力。此外，面对迅速增长的工作年龄人口，国家创造优质就业岗位的能力也受到考验。（阿法）: 印度人口将达141亿,成为全球人口最多的国家,但管理人口将面临挑战。
在野外救了一只大熊猫宝宝，为了不给它留下人类的样貌，工作人员穿成熊猫的样子，给它测量数据后，将其放归。野生熊猫果然野性十足，拒绝驯服，一直想逃跑: 熊猫宝宝拒绝驯服,救出大熊猫宝宝。
第一张后面是对比之下好清晰: 对比之下清晰
陕西21岁男孩双腿残疾，一个人，一群羊，双手撑起生活。这般疾苦都在努力生活，我们还有什么理由不好好生活。: 21岁残疾男孩的艰难生活
苏有朋第一次骑三轮差点吓坏景甜，开了半天没放手刹，幸亏村民们提醒啊！: 骑三轮吓坏景甜,幸亏村民提醒
恋爱在春天的味道[微风]: 恋爱在春天的味道
婚检医生乱说话，导致小情侣分手: 婚检医生乱说话致小情侣分手
山不见我，我自去见山！: 自见山,自见山。
一把枪里几种子弹，也只有左轮能做到吧[摊手]: 左轮能打出种子弹
（总台央视记者黄惠馨孔禄渊）: 总台记者黄惠馨孔禄渊
10日，合涧镇政府工作人员表示，现场已经设置了标志不让过去。安阳: 合涧镇政府设置标志
霍华德效力的桃园云豹在今天不敌台南猎鹰，魔兽因伤此役并没能出战。本场比赛结束之后，桃园云豹也就失去了晋级季后赛的机会。宝岛1联赛一共有6支球队，其中有5队可以晋级季后赛。即便是如此，桃园云豹依旧与季后赛无缘。而他此前加盟时，喊出的夺冠口号，如今似乎依旧还在耳边。: 桃园云豹不敌魔兽,无缘季后赛。
我好像看到了一直奔波的自己[苦涩]: 奔波中的自己
臭美的宝贝[喵喵]瑶一瑶小肉包: 臭美宝贝瑶一瑶小肉包
百岁爷爷睡醒后没看到老伴，以为老伴走了，哭得像个孩子。: 爷爷误认老伴离世
一条有味道的视频，是哪个乖囡就不点名了[笑]都江堰熊猫谷千江秋月: 熊猫谷千江秋月有味道
狗过马路也要等红绿灯。: 过马路也要等红绿灯
总算拿到手喽，一直担心给我丢了: 期待拿到手的工作
这个量在整个内娱都相当炸裂的: 内娱炸裂量
穿这样逛街回头率太高了: 逛街回头率太高
匆匆忙忙的一天过去了！: 匆匆忙忙的一天
幸好腰子还在04济南: 腰子还在04济南
好家伙，第一眼看以为钓上来一个油锯。: 小家伙钓上来油锯
只要思想不滑坡，办法总比困难多，跨界就是实用。大小散的日常: 思想不滑坡,跨界实用。
我奶给的橘子！我以为是坏的！是我见识少了。。。——象山紫美人媛红椪柑，不是血橙[老师好][老师好][老师好]: 橘子不是血橙,见识少了。
骑虎难下大小散的日常: 小虎难下日常
住酒店听到隔壁在为爱鼓掌，好烦躁: 住酒店听到隔壁鼓掌,烦躁。
警察捉跑酷的，太为难了: 警察捉跑酷让人为难
女兵的发髻挤出汗水，实力诠释什么是汗如雨下！啥也不说了，给中国女兵们点赞[中国赞]: 女兵的发髻挤出汗水,实力诠释汗如雨下。
观众刚才发生了什么？: 直播中发生了什么?
挥别雨后东京，感受下一座城市的喧嚣与宁静: 挥别雨后东京
万物皆有裂痕，那是阳光照进来的地方。一个人了。: 阳光照进地方,一个人了。
感觉这种鞋子挺不错的，为什么不流行？: 鞋子流行不流行?
女技师那你做没做？ 4月9日，贵州黔南。男子发视频吐槽住酒店时前台经理半夜敲门推销50元按摩服务，进门脱其裤子加做项目后要收费698元。视频中，男子和两位女技师争论，其中一技师表示零头可以去掉，另一技师表示你们享受了服务就要付钱。男子称最后付了钱，发布是让大家避雷。对此，酒店工作人员表示，女子并非酒店工作人员，调取监控发现女子通过地下停车场进入酒店，目前酒店已报警。猫头鹰视频@猫头鹰视频猫头鹰视频: 男子吐槽酒店按摩服务,脱裤子加做项目要收费698元。
原来男生真爱一个人是不用教的[哆啦梦吃惊]: 男生真爱不用教
官宦世家，第四代可进中枢。: 官宦世家可进中枢
还是币圈舒服随便买点一天就能赚10万这样谁还打工啊打个锤子工: 币圈买货日赚10万,谁还打工?
当年路人拍的生图好瘦啊: 路人拍摄生图
特种兵兄弟，哥哥宋祥立在73集团军某特战旅服役，弟弟宋益立是76集团军某特战旅一名二级上士（西陆强军号）沉默的山羊@沉默的山羊: 特种兵兄弟在特战旅服役
大学生搞别的可能不行，但搞笑一定行！: 大学生搞搞笑一定行
男朋友花一千送的戒指（买过了评价了就没有痕迹）: 朋友送戒指,无痕迹
4月9日，河南。夫妻出来游玩发生口角，一气之下跳河了，孩子眼睁睁的看着失去了母亲。: 夫妻因口角跳河,孩子失去母亲。
这王八得有一千年了？吃了补肾亏么？: 千年王八补肾亏?
这趟开往春天的红丝绒列车泰国清迈: 泰国开往春天的红丝绒列车
洁己换新号了，谁不想有一个这种秘书。关注白洁阿姨@白洁阿姨: 换新号,白洁阿姨期待新秘书
原来也有小搞不定的男人: 盘点小搞不定的男人
这不叫馄饨，这叫面片汤，看咱的: 馄饨汤,面片汤。
如果顶楼是这样的户型，买的人是不是要排长队？: 顶楼是户型,买者需排长队。
清末时期的紫禁城里，一个小太监正在服侍一名妃嫔荡秋千。: 末代紫禁城小太监服侍妃嫔
4月8日（发布时间），云南，小猫呼吸停止身体僵硬，主人经过一个多小时抢救，小猫居然奇迹生还。这是真的？: 小猫呼吸停止,奇迹生还。
按我们苗族的习俗你应该跟我回山寨: 苗族习俗应跟我回山寨
放不下的人早和别人同居了我还在研究怎么顺利毕业: 毕业打算和别人同居
很多网友感觉这次军演不过瘾，我劝大家不要急: 网友劝阻军演
45岁的毛主席和52岁的朱老总。: 毛泽东和52岁朱老总
近日，云南昭通。绥江县公安局交通警察大队接到报警称，在罗家坪隧道出口发生一起交通事故，一名10岁的女童被当场撞飞。经交警调查发现，女童从父亲驾驶的货车下来后，绕过车头奔跑横过道路，而后方驶来的小轿车避让不及，女童被撞飞三十余米。所幸，被撞的女童被及时送医治疗后无生命危险。交警调查后认定女童横过机动车道未充分观察确保安全是造成事故的原因之一轿车驾驶人通过盲区路段未确保安全通行是造成事故的另一原因。依据相关规定，认定胡某、刘某分别承担该事故同等责任。交警提醒未成年人在公路上行走，家长一定要做好安全提醒，机动车通过盲区路段一定要充分观察，降低车速，确保安全后通行！: 轿车撞飞10岁女童,交警认定司机未确保安全,同时承担事故责任。
突破传统，方形轮胎轮毂自行车问世。: 方形轮毂自行车问世
在工作的时候，谁能拒绝看一个乐高减压视频。: 工作时拒绝看乐高减压视频
喜欢黑丝还是肉丝搭配: 黑丝和肉丝搭配?
烧饼同学的家庭地位，很可以啊哈哈: 烧饼同学家庭地位可以啊哈哈
被螺旋桨击伤但是没有死的鲸。: 螺旋桨击伤未死的鲸
社会又多了一个小杂毛这种货色以后就会为害社会。: 抵制小杂毛货色
广东，网传佛山一商铺门前大妈用菜刀扒树皮，只见大树的皮被大妈环切了一周，拍摄者说这是在给大榕树治病吗？: 大妈扒树皮,拍摄者质疑其治病。
最后的叫声是真的惨呀。。。专员: 凄惨的叫声!
周六早上的日本人查询一下精神状态日本东京: 日本东京精神状态查询
只想，只要被坚定的选择。: 被坚定的选择
主办方已被警方带走处理 4月10日，四川成都，网传草莓音乐节现场一男子突然摇头晃脑，对着维持秩序的警察竖中指。视频显示，该男子最后被警察控制带走。11日，主办方成都国际非遗创意产业园工作人员称确实是在产业园发生，警察将他带走后会进行处理，截至目前还未反馈消息。至于为何对警察竖中指，工作人员说不清楚。目前，事件原因正在进一步调查处理中。成都: 成都草莓音乐节现场男子向警察竖中指,已被警方带走处理。
