成龙大哥生日快乐成龙@成龙: 成龙生日快乐
网友偶遇一对男女甜蜜接吻，最后一幕我实在看不懂: 情侣甜蜜接吻,令人看不懂。
4月7日，据印度媒体报道，印度中央邦一男子因戴耳机没听到火车驶来，而被火车撞伤。报道称男子事发前正在听歌，火车靠近车站时周围人试图警告男子，但男子未听到。男子被火车撞倒在站台上，头部严重受伤。报道称男子已被送医，目前已脱离生命危险。（世面）世面: 印度一男子因戴耳机未听到火车驶来而被撞伤。
[哆啦夢害怕]今天练什么: 今天练习什么?
情怀已酿青红紫，未品酸甜尽可知: 情怀已酿,酸甜待尝。
苏州科技大学@苏州科技大学8日发布情况说明，就凌晨4点发考研待录取通知作出回应对未从考生实际出发，科学合理安排复试时间，并在发布待录取通知确认时间时，工作人员存在失误，学校向相关考生诚恳道歉，同时将根据有关规定，在认真调查的基础上，对相关人员严肃教育处理。: 苏州科技大学就待录取通知失误致歉
太有趣了！真是万物皆可手机壳[666]新月: 新月手机壳有趣有趣
上晚自习被偷拍，晚自习在写作业同桌偷偷给我拍了张照这个角度好显下颚线呀: 晚自习被偷拍,同桌拍下下颚线。
妻子刚开始买的时候也没钱，载着我们过了很多年 4月6日，山东滨州。男子准备换新车，换车前磕头跪谢跟了自己8年的旧车。妻子王女士称，这辆车刚开始买的时候也没钱，跟着我们挺辛苦的，到现在8年，换车也很不舍，就拍个视频留作念想。: 男子换新车前跪谢8年旧车,妻子拍视频留作念想。
让我没想到的是05年的弟弟技术也很一般: 弟弟技术一般
手手太小了，挡不住太阳了捏！: 手太小挡不住太阳
零下10度的片场，臭气熏天的工作环境，小谁想说一句，卫队张译@张译辛苦了！: 卫队张译工作艰苦
女仆大赛呀[好喜欢]: 喜欢举办仆役大赛
孩子活着也是受罪，可是作为父母，哪怕一秒都不舍得放弃。。: 父母永不放弃,哪怕一秒也不放弃。
微博景甜@景甜学校北京电影学院专业07级表演系年龄1988年7月21日出生于西安身高167星座巨蟹座: 微博景甜就读于北京电影学院表演系,年龄1988年7月21日。
花样招式还挺多有空切磋下04语涵苏州: 44个苏州招式,不乏空切磋下,语涵苏州。
一拆开，是不是好几瓶茅台没了[笑]: 茅台被拆开
手机库存海边的微风老板的叫卖快乐的嗦粉想念夏天啦！周淑怡: 库存中的微风老板,想念夏天。
过完一个冬天变得巨白: 期待一个冬天变得巨白
救命，真的是追她的人会排到法国: 追她的人会排到法国
不怕少女小暧昧，就怕少妇三十岁: 怕少女小暧昧,少妇三十岁。
生日快乐各种节我都在飞机上度过了春节也在飞机上已经不记得过生日是什么味道了超甜吗哈哈意大利米兰: 春节在飞机上过生日,意大利米兰庆祝。
周六啦！大家都自愿加班！都好开心呀！: 周六自愿加班,好开心。
交警带到路边醒酒后自行离开 4月7日，河南商丘。孙先生开车时发现一女子跪在马路中间，手机播放戏曲音乐，手掐兰花指，引路人围观。当时车来车往，情况危险，于是孙先生下车将女子拉到路边。报警后，民警将女子带到一边醒酒，女子酒醒后离开。: 河南商丘交警带醒酒女子离开
我们村最有文明人写的菜单，就尿久没看懂: 村村有文明人写的菜单
笑死，200斤的裙子到了，除了胸非常合适以外，无论是哪都宽松: 200斤裙子宽松
思考题他是干什么的？: 他是干什么的?
为什么每次喝完咖啡都想。上厕所。: 每次喝完咖啡都想上厕所
2007年，重庆。街头，占道经营卖凉粉的小贩与城管产生了冲突。小贩家读小学的孩子看到后，双手死死地抓住城管的车子不放。孩子当时一定不理解为什么会这样，现在估计更不理解了: 小贩与城管冲突,小学生抓住城管车不放。
22楼开启新篇章，叶蓁蓁江疏影@江疏影方芷衡杨采钰@杨采钰朱喆张佳宁@张佳宁何悯鸿张慧雯@张慧雯余初晖李浩菲@李浩菲放肆来袭，勇气已装载完毕，美好人生重新启航，今晚21点30来腾讯视频@腾讯视频一起蹲守吧！: 新楼新篇章,多位明星亮相,勇气装载完毕,期待重新启航。
《以爱为营》吻戏花絮，王鹤棣亲了白鹿20多秒，羡慕了！: 《以爱为营》吻戏花絮,王鹤棣吻白鹿20多秒。
后悔看晚了！！原来这才是技能进阶的真正原因快来秒可特训营，4天时间让你从小白成长为大神，升职加薪逆袭职场特惠报名: 一秒可特训营,助小白升职加薪,特惠报名。
好漂亮啊，她身上氧气感真的很重: 漂亮的她,身上氧气感真的很重。
4月6日，江西，07年男孩去年没考上高中，迷茫中选择学厨师，学了两个半月就开始颠锅。男孩既然选择了这行，再累也要坚持。为了以后生活的更好，努力奋斗，将来你一定可以成为一个优秀的厨师。: 7年未考上高中,男孩选择当厨师。
没别的意思，这是夜市蛋炒饭，老铁们都懂，绝对没有影射什么。: 夜市蛋炒饭,老铁们都懂。
一个人的沉默叫做思考，一群人的沉默，叫做冷漠，所有人的沉默，叫做黑暗。——鲁迅: 沉默是思考,沉默是黑暗。
东湖太出片了真的下次去武汉一定把剩下的地方逛完[春游家族]: 武汉必去景点:湖湖美景,春游家族。
来动物园看大象吃东西真解压！这鼻子比吸尘器好使多了: 动物园大象吃东西解压
韩国女团迟早毁于泰国人之手: 韩国女团毁于泰国人之手
网友拍下心酸一幕，女子倒在楼梯台阶上，发布者称是摆摊城管来了，那女子就跑城管就拖，女子就从楼梯摔下去了。（素材来源最美的太阳）。: 女子被城管拖倒,摔下楼梯。
避雷！！！避雷这两个人！！1边上，680外场附近！打着官方的名义当黄牛，加钱进1280，是骗子！！！火姐避雷！已经反馈给官方了！进不去的！！！！！: 火姐避雷,骗子加钱进1280。
寸头小狼狗也太欲了！今晚的做梦素材有了！: 小狼狗太欲了,提供做梦素材。
心和胃都留在了厦门厦门: 心系厦门,思念家乡。
啊笨蛋走路玩手机不看路在扶梯前撞到杆子好危险: 笨蛋走路玩手机,撞到杆子,危险。
这个宿舍终究是选对了: 选对宿舍,选对学校。
刚坐过来就贴乎上来了你小子是懂享受的: 贴乎上来了你小子,享受享受。
26年第一次见到天安门[作揖]北京: 首次见到天安门[作揖]北京
生命只有一次，不管好与不好，都把他极力走完，反正不会来第二次了。: 努力走完一生,不会再来第二次。
有什么想尝试又不敢尝试的[微风][微风][微风]: 尝试尝试微风
她的童年比百分之九十的孩子快乐[笑]: 她的童年比百分之九十的孩子快乐
发布会2天后，邀您见证: 发布会2天后,邀您见证
这么漂亮为啥不能找个工作呢？: 漂亮不能工作?
照片拍摄于1992年2月，是邓公视察上海在南浦大桥上的留影。当时的邓公已是88岁高龄，他穿着一件黑色的长大衣，头戴着鸭舌帽，看上去意气风发，身体健朗！: 邓公视察上海留影照片拍摄于1992年2月。
青春是一场盛大的暗恋: 青春是一场盛大的暗恋
今天是晴天诶，而且还打出了个清一色诶！[送花花]: 晴天打色,清一色
原来武林外传各个都是时尚的弄潮儿: 盘点时尚弄潮儿
这是给大家解释啥叫杯水车薪呢？: 解释杯水车薪
不愧是仙女裙，像我这种屌丝穿上都好看: 屌丝穿仙女裙好看
路过镜子心里感叹我去这不是我很害怕的那种潮人吗: 害怕潮人
想重启想再下面给你们吃: 想重启?吃这7种食物
了解一下他们(汉奸)是怎么死的: 了解他们(汉奸)是怎么死的
迪丽热巴微博工作人员忘了切号了: 迪丽热巴微博工作人员忘切号
我在执行任务 据星视频@星视频报道，4月6日，四川绵阳。绵阳公安交警直属一大队接群众举报路边有个假军牌车在违停！民警随即赶往现场，一辆车牌为联军的黑色汽车违停在路边，此时，一男子上前叫嚣我正在执行重要任务，该男子不断强调着自己的特殊身份，面对民警调查态度恶劣，极其不配合。随后，在相关部门的配合核查下，证实男子所持证件均为伪造。对其涉嫌伪造假证的违法行为移交由相关部门作进一步调查处理中。星视频: 绵阳公安交警直属一大队接群众举报假军牌车
世上何来常青树心中不负便胜朝朝暮暮: 怀念常青树
亲爱的我们很快就要自由了: 自由生活即将结束
车辆发生剐蹭，男女马路中间友好协商专员: 车辆剐蹭协商专员调解
精力旺盛的黑皮体育生室友，都顶到苦茶子了荷尔蒙帅哥: 黑皮体育生室友精力旺盛
第一次邀请女朋友来家里过夜: 邀请女友来家里过夜
湖南卫视@湖南卫视芒果@芒果双平台独播！: 湖南卫视芒果双平台独播
郑恺前任现任比较，前任气质，现任可爱: 郑恺前任气质比较,现任可爱。
拍摄者偷溜出来的主人下车了 4月7日，辽宁沈阳，郭女士称地铁二号线上，一只宠物鼠偷溜出来，爬到乘客腿上。现场目击者分析可能是它的主人下车的时候没注意到宠物鼠跑了。老鼠窜到座椅上挠人才被发现。后来爬到一位男乘客的腿上，那个男乘客还挺淡定的，但是自己被吓一跳。随后有乘客用塑料袋把老鼠装了起来，装的过程中宠物鼠还把旁边的乘客手抓破了。沈阳: 宠物鼠爬上沈阳地铁乘客腿上
1992年邓颖超同志逝后非常安详，赵玮亲吻她的额头做最后的告别。临终前她交代身边工作人员我死后，给我穿上平时穿过的那套旧衣服，用恩来用过的骨灰盒装我的骨灰。这其中每一项都让人泪目，她和周总理的爱情故事感天动地，最遗憾的就是没能有自己的孩子。: 邓颖超与赵玮的爱情故事
放学等我可以回学校看你们了呜呜: 回学校看你们了
抗战时期的毛主席。那时的生活真艰苦，能取得抗战胜利确实不容易。: 抗战时期的毛主席生活艰苦,能取得抗战胜利不容易。
吃过这个东西的相信都已经三十多了吧，你们那边把它叫什么？: 30岁前的这个东西叫什么?
希望45岁的你也要开心自在爱妹妹: 45岁也要爱妹妹
新公司拒绝赔偿，会走法律途径维权 4月4日，江苏苏州。一女子换工作，刚收到确认入职，从前公司找领导签字确认离职后，遭到新公司反悔。当事人刘女士称，于3月27日收到了该公司的，并通过邮件填写了入职确认，约好4月12日入职，3月28日和前公司提出离职申请，4月4日被新公司告知因业务调整岗位缩减，不再录用自己，目前该公司表示除补偿体检费外，不会给任何赔偿。自己不接受这样的处理，会收集证据，走法律途径维权。搜狐千里眼@搜狐千里眼搜狐千里眼: 女子入职新公司后遭反悔,搜狐千里眼公司拒绝赔偿,将走法律途径维权。
湖北武汉，一对情侣在景区门口许愿，愿望还没升空，管理员一个帅气的抓扑就将其愿望破灭了。网友拿无知当浪漫真可怕。: 情侣在景区门口许愿,管理员抓扑破灭。
能叫声美女吗反正嘴闲着也是闲着: 美女与嘴闲着
陈祥榕的墓前摆上了一盒喜糖，原来4月1日戍边英雄陈祥榕的姐姐陈巧钗和男朋友赵凯举行了婚礼，陈巧钗给弟弟送来了一盒喜糖。新华网: 陈祥榕姐姐为弟弟送喜糖
好处一个人也没有坏处冷得脚趾发麻: 一个人也没有坏处,脚趾发麻。
是不是我妈小时候给我扎的太紧了[微笑]离了个大谱: 妈妈小时候给我扎的太紧,离大谱
全部换成了保卫我们的卫国戍边英雄。: 战士换英雄,保卫卫国。
国外艺术家的水墨画，这也太丝滑了: 国外艺术家丝滑水墨画
《顶级诱受的居家日记又名《总裁家里藏着的金丝雀》: 顶级诱受的居家日记
清明假，成都青龙湖露营区，一群人留下这一地垃圾成都青龙湖湿地公园: 成都青龙湖露营区垃圾场
不乖？那我来给你打一针就乖了长沙: 给你打一针就乖了长沙
好看的都上交给国家了，赞: 交给国家了,看的都上了。
北京师范大学谁懂啊刚下课就碰到余华老师！北京北京师范大学: 北京北师大余华教授下课
李一桐的魅力别有一番韵味，一般人经受不住这样的诱惑: 李一桐魅力诱惑
4月6日，贵州黔西南，7个月大的宝宝游泳，突然发生惊险一幕宝宝侧翻，头朝下扎入水中。幸好女子反应及时，第一时间把孩子从水里抱出来，不然后果不敢想象。网友游泳的时候，眼睛是一秒也不能离开娃娃的。（实习编辑贾梦婕李松蔓）: 贵州7月大宝宝游泳时侧翻,女子及时抱出孩子。
绿衣小男孩看热闹不嫌事大，结果自己成了主角。。[哆啦梦害怕][哆啦梦害怕]专员: 哆衣小男孩成主角
迪丽热巴佟大为等主演的新剧《公诉精英》改名《公诉》了，期待能早日看到安旎: 迪丽热巴主演新剧《公诉精英》更名为《公诉》
来公园里面散心了，再分享一个飞机，很好玩儿！: 公园分享飞机好玩
狂飙的这一幕被删掉真的好可惜，这不就是港片大佬们的画报吗！是不是太横太黑了所以删掉了: 狂飙画报被删
来了就点98号呀沈阳: 来了就点98号沈阳
好开心啊，希望咱们的土狗能得到重视，它们真的不比国外品种差！: 呼吁重视土狗,不比国外品种差。
最近真的把我美尖叫了: 自我感觉美尖叫
舞蹈生原相机直出（郑州）: 舞蹈生原相机直出(郑州)
近日，中柬警方联合行动，解救在柬埔寨被自己同胞骗去绑架的受害者，待警方赶到为时已晚，被害人经抢救无效死亡。: 中柬警方联合解救被绑架受害者,被害人抢救无效死亡。
得穿大短裤，田径裤穿这个像: 田径裤穿大短裤
所以，到底谁才是总统？: 谁是总统?
第五张谁有原图可以私我一下吗？好卡哇伊南京: 谁有原图可以私我?好卡哇伊南京
意大利大面团主厨做十五人份早餐（封面不是被子是面团）: 面团主厨做早餐
全员只有一个好人是我本人[微笑]: 全员只有一个好人,本人[微笑]
当我和心灵手巧的男生谈恋爱时: 恋爱时手巧
这楼梯我甚至都忘记看后面的樱花了: 忘记看后面的樱花了
周末了，今晚准备怎么发泄一下？[微风][微风][微风]: 周末发泄情绪,享受微风。
好白好细的大白腿杭州小哈03: 大白腿杭州小哈03
这根大水管也太明显了点吧: 大水管太明显了
这条收集下小碎花[兔子]: 收集小碎花
据说是国内某211院校教授工资: 国内某211院校教授工资曝光
紫萱和重楼的这个体型差真的好绝，唐嫣可是有172呢！: 唐嫣有172体型差
随着科技的进步以及市场经济结果，到处都出现了产能过剩的局面，做四休三可成为有效缓解产能过盛的方法之一。4月8日，北京大学国民经济研究中心主任苏剑教授告诉健康时报记者，做四休三是一个趋势，可以作为探索。刚刚过去的清明节假期，让打工人们体验了一把做四休三的工作制。4月8日，做四休三话题冲上微博热搜，引起网友广泛热议。网友评论却呈两极分化的状态，有不少网友表示体验了把做四休三，感觉一周过的轻松许多，且效率也提高了不少，也有不少网友表示周三休息会打断工作连续性还没实现双休，做四休三感觉遥不可及目前我国面临产能过剩等问题，做四休三，有效减少产能的同时，还能进一步刺激消费。使民众能有更多时间来实现生活多样化，如美食、娱乐、旅游等。苏剑表示，做四休三同时也相当于减少了每个人的劳动供给，能缓解就业压力，变相增加劳动岗位。从长期来看，对于提高大家的幸福感、获得感和存在感提供了支撑。（健康时报）: 北大教授苏剑:做四休三可缓解产能过剩,减少劳动供给和提高幸福感。
大学是一个包容性很强的地方: 包容性很强的地方
反复高烧两天，医院挂药水都不退烧只能使出祖传秘方，果然很有效五分钟不到立马退烧: 祖传秘方可快速退烧
作为一名护士人前与人后的差别: 护士人前人后的差别
上周去参加男朋友他们的欢送会: 周周参加男朋友欢送会
给予我这个荣誉，感谢观众们的支持，以后我将继续努力，不负青春: 感谢观众支持,努力不负青春。
为了避免不必要的误会换一个: 避免误会换新
有个183的宽肩老公真幸福: 183宽肩老公幸福
吃一口草莓合肥合肥君悦酒店: 一口草莓合肥合肥君悦酒店
暗恋了一个男生一年了特别喜欢他感觉不嫁给他会遗憾一辈子昨天成功约他出来玩在一起待了两个小时今天感觉就没那么喜欢他了深圳深圳前海华侨城万豪酒店: 爱上男生,遗憾终生,成功约他在一起。
梦对象居然是自己讨厌的人，这是什么情况？: 对象是自己讨厌的人,这是什么情况?
是阿婆让巧珍懂得了比生得漂亮更重要的是活得漂亮: 阿婆让阿婆懂得漂亮
太穷不敢让男朋友看家里: 穷追不舍,不敢让男友看家里。
晚上去基基家吃朴师傅做的鸡腿汉堡香晕完全胃饱了嘴没饱一直建议她们开个餐车我可以天天点外卖（私心很重再躺在她们家沙发上和她彻夜长谈一起回忆过去20多年的种种给她介绍了我相册里国内的各个朋友还有网上嘴贱的你们这些朋友感觉一天比一天幸福真的很难得她们家沙发太舒服有机会老子绝对要偷走现在在看他们乱七八糟收行李好有生活气好幸福明天开始大家都要去旅游了好啊！就留我一个人在伦敦发烂发臭好了！不想管我就都别管我了！那就放我去死！: 在基基家吃鸡腿,建议她们开餐车,回忆过去20年生活。
张颂文喝牛奶真能长高，我作证！: 张颂文作证喝牛奶
等会我我多少有点尴尬: 会我我多少有点尴尬
现在的电视剧，越来越会吹牛皮了[笑][笑][笑]: 电视剧吹牛皮
就算所有人都背弃澹台烬，叶夕雾也不会放弃。罗云熙@罗云熙: 罗云熙:即使所有人都背弃,也不会放弃
我第一次见教员流泪照片: 第一次见教员流泪照片
一栋房换的一张脸，你们就说值不值吧？风青杨: 一栋房换一张脸,请问值不值?风青杨
垃圾就应该去垃圾该去的地方南昌职业技术学院: 垃圾该去的地方南昌职业技术学院
上班族打工人文案𝟏、一天假不休一分钱不挣去上班主打就是陪伴𝟐、不敢睡怕一觉醒来就要打工𝟑、你们上班是每周几休啊我们是不死不休𝟒、装模作样上班全心全意下班𝟓、不要慌不要慌这个月照样穷铛铛𝟔、一星期总有那么七天不想上班𝟕、打工只是一场戏大家因为贫穷而相聚𝟖、上班哪有不发疯的硬撑罢了𝟗、我的日常安排很简单起床然后受苦心情心语心理学: 班族打工人文案,提出9条建议。
下夜班又来按摩今天换了个技师又说我屁股弹比女生的屁股还嫩咱就是说以后能不能是按摩师付费来给我按阿，不然我咋觉的我亏了: 按摩师说我屁股还嫩
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈鬼才: 搞笑鬼才聚会
四个决绝赴死的农村青年 4月4日13时30分许，4名年轻人在张家界天门山跳崖。经当地公安部门查明，4人为自杀。这几个年轻人，均在外务工，最小的23岁，最大的也不过34岁。彭志军出事后，徐明也是问了父母，才将新闻里的彭志军跟自己认识的老三联系在一起。徐明记得，刚加微信时，彭志军还把他屏蔽了，他的朋友圈背景什么都没有，什么都看不到。感觉他还是挺封闭自己的，自己内心有一个小世界，很少人了解他。（记者印柏同陈银霞实习记者顾靓楠编辑王珊）: 张家界4名农村青年自杀,最小的23岁,最大的34岁。
我突然明白为什么他们能考上公务员了: 公务员考试引发疑问
知道女明星真人都很瘦但都是瘦成这种程度的吗[交税]（小松菜葉籽）: 女明星瘦成这种程度?交税!
很喜欢王源的一段话我们没有理由说辛苦。为自己喜欢的事情坚持，为坚持的事情努力，看到自己的进步，其实是件很幸福的事，也正因为这些辛苦，才让人察觉白驹过隙，才知道自己没有浪费光阴。: 王源说辛苦是幸福的事
主办方这是懂宣传的，冠军奖金这500万现金，装进麻袋背走，太痛快了！: 500万现金背走冠军
第次扩充失败，太紧了，腮帮子都吹酸了也不张开花心给我看看，跟涂某人一样难搞！糊涂蛋: 腮帮子太紧,难搞
我特别好磕泰版流星花园八百年没到了: 磕碰泰版流星花园
我只有到晚上时候才这么黑[摊手]: 夜幕下的黑摊手
爱一些体型差雪儿真的好小一只[哇][哇][哇]: 体型差雪小一只
今天上厕所冲水耳机掉了冲下去了苏州常熟理工学院(东湖校区): 苏州一高校耳机冲下苏州常熟理工学院
两弹一星，嫦娥北斗他领导下发射的卫星，占中国航天飞行器的三分之一。2007年，嫦娥一号顺利完成绕月，欢呼的人群中，他悄悄转过身，擦去脸上的泪水。今天，祝孙家栋院士健康长寿！: 祝孙家栋院士健康长寿
强车还是有点高盛还行: 高盛还行,车仍高盛
双胞胎爷爷满100岁了。路过的别着急走给爷爷个祝福，顺便沾沾喜气儿。祝看到此视频的人家里老人也都长命百岁！: 祝双胞胎爷爷百岁,祝福沾沾喜气。
谁能不喜欢猪猪侠的表情: 不喜欢猪猪侠的表情
蜜蜂排泄，据说冬天它们可以半年不拉。比人类强多了: 蜜蜂排泄比人类强
女大十八变真的是越大越好看了，尤其是王诗龄的腿是真的好直: 大十八变王诗龄腿好直
这是范志毅女儿？？我还以为范志毅是刚结婚不久呢？怎么女儿这么大了？果然有钱人家的小孩生活都比较精美: 范志毅女儿大,有钱人家的小孩生活精美。
没有一定的养狗基础，千万别碰比特犬。: 养狗基础,不宜碰比特犬
老铁门口觉得给多少钱合适: 铁道口觉得给多少钱合适
小时候喜欢贴纸，长大了喜欢电子贴纸: 喜欢电子贴纸,长大喜欢贴纸。
